notes,average_rating,count
Starflower,,0
Steam Accord,,0
Stems Greens,,0
Stephanotis,,0
Stone,,0
Strawberry Flower,,0
Strawberry Leaf,,0
Strawberry Syrup,,0
Strelitzia,,0
Sumac,,0
Sunflower,,0
Suntan Lotion,,0
Surf Wax,,0
Sweet Almond,,0
Sweet Grass,,0
Sweet Pea,,0
Sweet Pepper,,0
Synthetic Civet,,0
Syringa,,0
Syrup,,0
Tahitian Gardenia,,0
Tahitian Tiare Flower,,0
Tahitian Vanilla,,0
Tahitian Vetiver,,0
Takamaka,,0
Talc,,0
Tamarind,,0
Tangelo,,0
Tangerine Blossom,,0
Tayberry,,0
Tea Leaf,,0
Tea Tree Oil,,0
Teak Wood,,0
Teakwood Essence,,0
Tequila,,0
Terranol,,0
Texas Rosewood,,0
Thailand Oud,,0
Thanaka Wood,,0
Thistle,,0
Ti Leaf (Cordilyne),,0
Timbersilk™,,0
Timur,,0
Tiramisu,,0
Tokaji Wine,,0
Tomato,,0
Tomato Leaf,,0
Tonic Water,,0
Toscanol,,0
Transparent Flowers,,0
Tropical Fruit,,0
Tropical Fruits,,0
Tropézienne Tarte,,0
Tulip,,0
Tulle Accord,,0
Tulsi,,0
Tunisian Opium,,0
Tunisian Orange Blossom,,0
Turkey Red Rose,,0
Tuscan Cypress,,0
Tuscan Iris,,0
Tyger Lily,,0
Valerian,,0
Vanilla Bahiana,,0
Vanilla Flower,,0
Vanilla Pod,,0
Vanilla Sugar,,0
Vanillin,,0
Velvet,,0
Verbena,,0
Vetiver Root,,0
Vetyver,,0
Vietnamese Oud,,0
Vine,,0
Vinyl,,0
Violet Woodsorrel,,0
Virginian Cedar,,0
Waffle,,0
Wallflower,,0
Walnut,,0
Water Flowers,,0
Water Fruit,,0
Water Jasmine,,0
Water Lily Leaf,,0
Water Mint,,0
Watercress,,0
Wattleseed,,0
West Indian Bay,,0
Western Skunk Cabbage,,0
White Apricot,,0
White Carnation,,0
White Currant,,0
White Cyclamen,,0
White Datura,,0
White Ginger,,0
White Ginger Lily,,0
White Grape,,0
White Grapefruit,,0
White Heliotrope,,0
White Hyacinth,,0
White Iris,,0
White Magnolia,,0
White Mimosa,,0
White Mimosa Honey,,0
White Oud,,0
White Rose,,0
White Rum,,0
White Sandalwood,,0
White Suede,,0
White Tabacco,,0
White Tobacco,,0
White Violet,,0
White Wine,,0
Whoopie Pie,,0
Wild Jasmine,,0
Wild Lavender,,0
Wild Orange,,0
Wild Orchid,,0
Wild Strawberry Leaf,,0
Wine Lees,,0
Wintergreen,,0
Wisteria Flower,,0
Wolfberry,,0
Wood Resin,,0
Wood barrel,,0
Wool,,0
Yarrow,,0
Yellow Flowers,,0
Yellow Freesia,,0
Yellow Fruits,,0
Yellow Mandarin,,0
Yellow Narcissus,,0
Yellow Poppy,,0
Yellow Rose,,0
Yellow Water Lily,,0
Ylang Ylang,,0
Yogurt,,0
Zinnia,,0
boxwood,,0
citruses with sugar,,0
cream soda,,0
dark woodsy notes,,0
desert peach,,0
ebony tree,,0
edelweiss,,0
grapeflower,,0
gunpowder,,0
heather,,0
juniper berry,,0
mulberry,,0
oriental flower notes,,0
pink tulip,,0
prickly pear,,0
wax plant,,0
