designer,rating
oriflame,3.7844444444444445
dilís parfum,3.782857142857143
alexandre.j,3.7824999999999998
jeanne arthes,3.78125
revlon,3.7800000000000002
jimmy choo,3.78
outremer,3.78
junaid perfumes,3.78
zoologist perfumes,3.775
smell bent,3.7733333333333334
floral street,3.77
montale,3.77
once,3.77
gabriela sabatini,3.77
bijan,3.77
biotherm,3.77
pupa,3.76
zirh,3.76
abaco paris,3.76
the harmonist,3.76
wienerblut,3.76
myrurgia,3.76
profumi del forte,3.76
sylvaine delacourte,3.76
id parfums,3.76
maori collection,3.755
sephora,3.7533333333333334
ys-uzac,3.75
zents,3.75
ningen parfums,3.75
jennifer lopez,3.75
nino amaddeo,3.75
jacques evard,3.75
sapientiae niche,3.75
cathy guetta,3.75
dhamma perfumes,3.75
poesie,3.75
elie saab,3.75
chapel factory,3.75
timothy han edition perfumes,3.75
chantal thomass,3.75
provence & nature,3.75
bond no 9,3.7483333333333335
lonkoom parfum,3.7466666666666666
tommy bahama,3.745
rag & bone,3.745
navitus parfums,3.745
azagury,3.74
new yorker,3.74
bybozo,3.74
floraïku,3.74
al ambra,3.73
tonino lamborghini,3.73
american eagle,3.73
sélection excellence,3.725
aquolina,3.725
lush,3.7249999999999996
serge lutens,3.723333333333333
la rive,3.72
maher olfactive,3.72
comptoir sud pacifique,3.7199999999999998
etat libre d'orange,3.715
imaginary authors,3.715
anima mundi,3.71
madonna,3.71
maison incens,3.71
tom tailor,3.71
royal crown,3.71
versace,3.705
ulric de varens,3.705
yves rocher,3.7
via paris parfums,3.7
teo cabanel,3.7
kristel saint martin,3.7
roberto verino,3.7
boy smells,3.7
nuancielo,3.7
essence,3.7
salvador dali,3.6999999999999997
shirley may,3.695
nishane,3.69
mexx,3.6849999999999996
paco rabanne,3.68
carlotha ray,3.68
choix,3.68
jean poivre,3.68
kerosene,3.68
lulu castagnette,3.68
intimacy,3.68
nobile 1942,3.67
tan giudicelli,3.67
fugazzi,3.67
florescent,3.67
parfums elite,3.67
fulton & roark,3.67
panama 1924,3.67
bjorn borg,3.67
aromatic families,3.67
clement b,3.67
thalia sodi,3.67
mirato,3.67
mabra parfums,3.67
swedoft,3.67
swiss guard,3.67
fomo,3.67
tonatto profumi,3.67
nutrimetics,3.665
sergio nero,3.665
ciel parfum,3.665
zadig & voltaire,3.66
dana,3.66
missoni,3.66
min new york,3.6450000000000005
les liquides imaginaires,3.645
attar collection,3.635
jay z,3.635
axe,3.633333333333333
sammarco,3.63
demeter fragrance,3.622727272727273
vilhelm parfumerie,3.6225
elvis jesus,3.62
one of those,3.62
angela ciampagna,3.62
wide society,3.62
sage machado,3.62
tufi duek,3.6199999999999997
ann summers,3.6
voluspa,3.6
kanøn,3.6
jacques esterel,3.6
moodeaux,3.6
eon productions,3.6
chris adams,3.6
eaux parfums,3.6
glasshouse,3.59
astrophil & stella,3.59
diesel,3.59
al battash concepts,3.585
maria candida gentile,3.58
april aromatics,3.58
philly&phill,3.58
viktor&rolf,3.58
ana hickmann,3.58
woudacieux haute parfumerie,3.57
mayme?,3.57
voila du joli,3.57
pacoma,3.57
prince,3.57
angel schlesser,3.5666666666666664
hinode,3.5625
omnia profumi,3.56
arielle shoshana,3.56
fiilit,3.56
alysonoldoini,3.55
confessions of a rebel,3.55
gallivant,3.55
victorinox swiss army,3.54
noème,3.54
remy latour,3.53
simimi,3.52
derek lam 10 crosby,3.51
mac,3.51
cnr create,3.505
les essentiels,3.5
roxana illuminated perfume,3.5
royal apothic,3.5
nickel,3.5
maison sybarite,3.5
café de parfum,3.5
acidica perfumes,3.5
reserva,3.5
saint charles shave,3.5
alûstre,3.5
ascania,3.5
parfums constantine,3.5
sensor i am,3.5
bentley,3.5
olivares & ribero,3.5
serious skin care,3.5
corps volatils,3.5
converse,3.5
majouri,3.5
custo barcelona,3.5
cupid perfumes,3.5
croatian perfume house,3.5
imperial parfums,3.5
condensé paris,3.5
van gils,3.4850000000000003
beach geeza,3.48
kenneth cole,3.48
tory burch,3.48
absolument parfumeur,3.48
chabaud maison de parfum,3.48
faberlic,3.4771428571428573
connock london,3.47
pull & bear,3.47
raw spirit fragrances,3.465
água de cheiro,3.4575
tsvga parfums,3.45
emilio pucci,3.44
laila bagge,3.44
tiens,3.44
acqua di stresa,3.43
hardwell,3.43
p1,3.43
pastor fragrances,3.4299999999999997
pacha ibiza,3.42
siordia parfums,3.415
yves de sistelle,3.415
scents of wood,3.41
moods of norway,3.4
bjork and berries,3.39
kamila robinson,3.39
nasomatto,3.3899999999999997
phlur,3.38
police,3.38
savour,3.36
nomaterra,3.36
maïssa parfums,3.3449999999999998
miraculum,3.34
brocard,3.3366666666666664
charrier parfums,3.33
l'erboristica,3.33
esse strikes the notes,3.33
alexandra gluck,3.33
amira parfums,3.33
duquesa de medinaceli,3.33
niyo&co,3.33
valeur absolue,3.33
sueño,3.32
tommy hilfiger,3.32
jessica simpson,3.31
thera cosméticos,3.3
antinomie,3.3
antonio miro,3.29
galimard,3.27
la martina,3.2649999999999997
olympic orchids artisan perfumes,3.26
plangui parfumeur,3.25
ninel perfume,3.25
pineward perfumes,3.25
new brand parfums,3.25
saint hilaire,3.25
nbitor,3.25
suhad perfumes,3.25
bershka,3.25
atum,3.25
franck boclet,3.25
toskovat',3.23
rodin olio lusso,3.23
novellista,3.2249999999999996
franck olivier,3.21
abbott new york city,3.2
cristiano ronaldo,3.2
tallulah jane,3.2
neil morris,3.186666666666667
fragrance du bois,3.18
symétrie,3.18
akro,3.18
samy andraus fragrances,3.1799999999999997
beauty pie,3.17
the cotswold perfumery,3.165
thipos,3.125
cristina ferreira,3.1
flavia,3.09
altra,3.08
pierre balmain,3.0700000000000003
fakoshima,3.05
ricardo ramos perfumes de autor,3.013333333333333
sarah horowitz parfums,3.0
john ashwood,3.0
tipton charles,3.0
ahmed mahsoub karizma,3.0
emmanuel levain,3.0
